term,definition
Abalienation,"n.,The act of abalienating; alienation; estrangement."
Abalone,"n.,A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast…"
Aband,"v. t.,To abandon."
Abandoned,"imp. & p. p.,of Abandon"
Abandoning,"p. pr. & vb. n.,of Abandon"
Abandon,"v. t.,To cast or drive out; to banish; to expel; to reject."
Abandonedly,"adv.,Unrestrainedly."
Abandonee,"n.,One to whom anything is legally abandoned."
B,",is the second letter of the English alphabet. (See Guide to Pronunciation, // 196, 220.) It is etymologically related to p, v, f, w and m , letters representing sounds having a…"
Ba,"v. i.,To kiss."
Baa,"v. i.,To cry baa, or bleat as a sheep."
Baas,"pl. ,of Baa"
Baaing,"n.,The bleating of a sheep."
Baalim,"pl. ,of Baal"
Baal,"n.,The supreme male divinity of the Phoenician and Canaanitish nations."
Baalism,"n.,Worship of Baal; idolatry."
Baalist,"n.,Alt. of Baalite"
Baalite,"n.,A worshiper of Baal; a devotee of any false religion; an idolater."
Baba,"n.,A kind of plum cake."
Babbitt,"v. t.,To line with Babbitt metal."
Babbitt metal,",A soft white alloy of variable composition (as a nine parts of tin to one of copper, or of fifty parts of tin to five of antimony and one of copper) used in bearings to diminis…"
Babbled,"imp. & p. p.,of Babble"
Babbling,"p. pr. & vb. n.,of Babble"
Babble,"v. i.,To utter words indistinctly or unintelligibly; to utter inarticulate sounds; as a child babbles."
Babblement,"n.,Babble."
Babbler,"n.,An idle talker; an irrational prater; a teller of secrets."
Babblery,"n.,Babble."
Babe,"n.,An infant; a young child of either sex; a baby."
Babehood,"n.,Babyhood."
Babel,"n.,The city and tower in the land of Shinar, where the confusion of languages took place."
Babery,"n.,Finery of a kind to please a child."
Babian,"n.,Alt. of Babion"
Babion,"n.,A baboon."
Babillard,"n.,The lesser whitethroat of Europe; -- called also babbling warbler."
Babingtonite,"n.,A mineral occurring in triclinic crystals approaching pyroxene in angle, and of a greenish black color.  It is a silicate of iron, manganese, and lime."
Babiroussa,"n.,Alt. of Babirussa"
Babirussa,"n.,A large hoglike quadruped (Sus, / Porcus, babirussa) of the East Indies, sometimes domesticated; the Indian hog. Its upper canine teeth or tusks are large and recurved."
Babish,"a.,Like a babe; a childish; babyish."
Babism,"n.,The doctrine of a modern religious sect, which originated in Persia in 1843, being a mixture of Mohammedan, Christian, Jewish and Parsee elements."
Babist,"n.,A believer in Babism."
Bablah,"n.,The ring of the fruit of several East Indian species of acacia; neb-neb. It contains gallic acid and tannin, and is used for dyeing drab."
Baboo,"n.,Alt. of Babu"
Babu,"n.,A Hindoo gentleman; a native clerk who writes English; also, a Hindoo title answering to Mr.  or Esquire."
Baboon,"n.,One of the Old World Quadrumana, of the genera Cynocephalus and Papio; the dog-faced ape. Baboons have dog-like muzzles and large canine teeth, cheek pouches, a short tail, a…"
Baboonery,"n.,Baboonish behavior."
Baboonish,"a.,Like a baboon."
Babies,"pl. ,of Baby"
Baby,"n.,An infant or young child of either sex; a babe."
C,",C is the third letter of the English alphabet. It is from the Latin letter C, which in old Latin represented the sounds of k, and g (in go); its original value being the latter…"
Caaba,"n.,The small and nearly cubical stone building, toward which all Mohammedans must pray."
Caas,"n. sing. & pl.,Case."
Cab,"n.,A kind of close carriage with two or four wheels, usually a public vehicle."
Cabal,"n.,Tradition; occult doctrine. See Cabala"
Caballed,"imp. & p. p.,of Cabal"
Caballing,"p. pr. & vb. n.,of Cabal"
Cabala,"n.,A kind of occult theosophy or traditional interpretation of the Scriptures among Jewish rabbis and certain mediaeval Christians, which treats of the nature of god and the mys…"
Cabalism,"n.,The secret science of the cabalists."
Cabalist,"n.,One versed in the cabala, or the mysteries of Jewish traditions."
Cabalistic,"a.,Alt. of Cabalistical"
Cabalistical,"a.,Of or pertaining to the cabala; containing or conveying an occult meaning; mystic."
Cabalistically,"adv.,In a cabalistic manner."
Cabalize,"v. i.,To use cabalistic language."
Caballer,"n.,One who cabals."
Caballine,"a.,Of or pertaining to a horse."
Cabaret,"n.,A tavern; a house where liquors are retailed."
Cabas,"n.,A flat basket or frail for figs, etc.; hence, a lady's flat workbasket, reticule, or hand bag; -- often written caba."
Cabassou,"n.,A species of armadillo of the genus Xenurus (X. unicinctus and X. hispidus); the tatouay."
Cabbage,"n.,An esculent vegetable of many varieties, derived from the wild Brassica oleracea of Europe. The common cabbage has a compact head of leaves. The cauliflower, Brussels sprouts…"
Cabbaged,"imp. & p. p,of Cabbage"
Cabbaging,"p. pr. & vb. n.,of Cabbage"
Cabbler,"n.,One who works at cabbling."
Cabbling,"n.,The process of breaking up the flat masses into which wrought iron is first hammered, in order that the pieces may be reheated and wrought into bar iron."
Cabeca,"n.,Alt. of Cabesse"
Cabesse,"n.,The finest kind of silk received from India."
Caber,"n.,A pole or beam used in Scottish games for tossing as a trial of strength."
Cabezon,"n.,A California fish (Hemilepidotus spinosus), allied to the sculpin."
Cabiai,"n.,The capybara. See Capybara."
Cabin,"n.,A cottage or small house; a hut."
Cabined,"imp. & p. p.,of Cabin"
Cabining,"p. pr. & vb. n.,of Cabin"
Cabinet,"n.,A hut; a cottage; a small house."
Cabineting,"p. pr. & vb. n.,of Cabinet"
Cabinetmaker,"n.,One whose occupation is to make cabinets or other choice articles of household furniture, as tables, bedsteads, bureaus, etc."
Cabinetmaking,"n.,The art or occupation of making the finer articles of household furniture."
Cabinetwork,"n.,The art or occupation of working upon wooden furniture requiring nice workmanship; also, such furniture."
Cabirean,"n.,One of the Cabiri."
Cabbiri,"n. pl.,Certain deities originally worshiped with mystical rites by the Pelasgians in Lemnos and Samothrace and afterwards throughout Greece; -- also called sons of Hephaestus (o…"
Cabirian,"a.,Same as Cabiric."
Esopian,"a.,Of or pertaining to Aesop, or in his manner."
Esopic,"a.,Same as Aesopian."
Esthesiometer,"n.,An instrument to measure the degree of sensation, by determining at how short a distance two impressions upon the skin can be distinguished, and thus to determine whether the…"
Esthetics,"n.,The theory or philosophy of taste; the science of the beautiful in nature and art; esp. that which treats of the expression and embodiment of beauty by art."
Embassade,"ambassade.,The mission of an ambassador."
Embassador,"n.,A minister of the highest rank sent to a foreign court to represent there his sovereign or country."
E,",The fifth letter of the English alphabet."
E-,",A Latin prefix meaning out, out of, from; also, without. See Ex-."
Each,"a. / a. pron.,Every one of the two or more individuals composing a number of objects, considered separately from the rest. It is used either with or without a following noun; as…"
Eachwhere,"adv.,Everywhere."
Eadish,"n.,See Eddish."
Eager,"a.,Sharp; sour; acid."
Eagerly,"adv.,In an eager manner."
Eagerness,"n.,The state or quality of being eager; ardent desire."
Eagle,"n.,Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Haliaeetus. The eagle is remarkable for strength, size, graceful figure, keenness of vision, and…"
Eagle-eyed,"a.,Sharp-sighted as an eagle."
Eagle-sighted,"a.,Farsighted and strong-sighted; sharp-sighted."
Eagless,"n.,A female or hen eagle."
Eaglestone,"n.,A concretionary nodule of clay ironstone, of the size of a walnut or larger, so called by the ancients, who believed that the eagle transported these stones to her nest to fa…"
Eaglet,"n.,A young eagle, or a diminutive eagle."
Eagle-winged,"a.,Having the wings of an eagle; swift, or soaring high, like an eagle."
Eaglewood,"n.,A kind of fragrant wood. See Agallochum."
Eagrass,"n.,See Eddish."
Eagre,"n.,A wave, or two or three successive waves, of great height and violence, at flood tide moving up an estuary or river; -- commonly called the bore. See Bore."
Ealderman,"n.,Alt. of Ealdorman"
Ealdorman,"n.,An alderman."
Eale,"n.,Ale."
Eame,"n.,Uncle."
Ean,"v. t. & i.,To bring forth, as young; to yean."
Eanling,"n.,A lamb just brought forth; a yeanling."
Ear,"n.,The organ of hearing; the external ear."
Eared,"imp. & p. p.,of Ear"
Earing,"p. pr. & vb. n.,of Ear"
Earable,"a.,Arable; tillable."
Earache,"n.,Ache or pain in the ear."
Earal,"a.,Receiving by the ear."
Ear-bored,"a.,Having the ear perforated."
Earcap,"n.,A cap or cover to protect the ear from cold."
Earcockle,"n.,A disease in wheat, in which the blackened and contracted grain, or ear, is filled with minute worms."
Eardrop,"n.,A pendant for the ear; an earring; as, a pair of eardrops."
F,",F is the sixth letter of the English alphabet, and a nonvocal consonant. Its form and sound are from the Latin. The Latin borrowed the form from the Greek digamma /, which prob…"
Fa,"n.,A syllable applied to the fourth tone of the diatonic scale in solmization."
Fabaceous,"a.,Having the nature of a bean; like a bean."
Fabellae,"pl. ,of Fabella"
Fabella,"n.,One of the small sesamoid bones situated behind the condyles of the femur, in some mammals."
Fabian,"a.,Of, pertaining to, or in the manner of, the Roman general, Quintus Fabius Maximus Verrucosus; cautious; dilatory; avoiding a decisive contest."
Fable,"n.,A Feigned story or tale, intended to instruct or amuse; a fictitious narration intended to enforce some useful truth or precept; an apologue. See the Note under Apologue."
Fabled,"imp. & p. p.,of Fable"
Fabling,"p. pr. & vb. n.,of Fable"
Fabler,"n.,A writer of fables; a fabulist; a dealer in untruths or falsehoods."
Fabliaux,"pl. ,of Fabliau"
Fabliau,"n.,One of the metrical tales of the Trouveres, or early poets of the north of France."
Fabric,"n.,The structure of anything; the manner in which the parts of a thing are united; workmanship; texture; make; as cloth of a beautiful fabric."
Fabricked,"imp. & p. p.,of Fabric"
Fabricking,"p. pr. & vb. n.,of Fabric"
Fabricant,"n.,One who fabricates; a manufacturer."
Fabricated,"imp. & p. p.,of Fabricate"
Fabricating,"p. pr. & vb. n.,of Fabricate"
Fabricate,"v. t.,To form into a whole by uniting its parts; to frame; to construct; to build; as, to fabricate a bridge or ship."
Fabrication,"n.,The act of fabricating, framing, or constructing; construction; manufacture; as, the fabrication of a bridge, a church, or a government."
Fabricator,"n.,One who fabricates; one who constructs or makes."
Fabricatress,"n.,A woman who fabricates."
Fabrile,"a.,Pertaining to a workman, or to work in stone, metal, wood etc.; as, fabrile skill."
Fabulist,"n.,One who invents or writes fables."
Fabulized,"imp. & p. p.,of Fabulize"
Fabulizing,"p. pr. & vb. n.,of Fabulize"
Fabulize,"v. i.,To invent, compose, or relate fables or fictions."
Fabulosity,"n.,Fabulousness."
Fabulous,"a.,Feigned, as a story or fable; related in fable; devised; invented; not real; fictitious; as, a fabulous description; a fabulous hero."
Faburden,"n.,A species of counterpoint with a drone bass."
Fac,"n.,A large ornamental letter used, esp. by the early printers, at the commencement of the chapters and other divisions of a book."
Facade,"n.,The front of a building; esp., the principal front, having some architectural pretensions. Thus a church is said to have its facade unfinished, though the interior may be in…"
Face,"n.,The exterior form or appearance of anything; that part which presents itself to the view; especially, the front or upper part or surface; that which particularly offers itsel…"
Faced,"imp. & p. p.,of Face"
Facing,"p. pr. & vb. n.,of Face"
Faser,"n.,One who faces; one who puts on a false show; a bold-faced person."
Facet,"n.,A little face; a small, plane surface; as, the facets of a diamond."
Faceted,"imp. & p. p.,of Facet"
Faceting,"p. pr. & vb. n.,of Facet"
Facete,"a.,Facetious; witty; humorous."
G,",G is the seventh letter of the English alphabet, and a vocal consonant. It has two sounds; one simple, as in gave, go, gull; the other compound (like that of j), as in gem, gin…"
Gab,"n.,The hook on the end of an eccentric rod opposite the strap. See. Illust. of Eccentric."
Gabarage,"n.,A kind of coarse cloth for packing goods."
Gabardine,"n.,Alt. of Gaberdine"
Gaberdine,"n.,A coarse frock or loose upper garment formerly worn by Jews; a mean dress."
Gabber,"n.,A liar; a deceiver."
Gabbled,"imp. & p. p.,of Gabble"
Gabbling,"p. pr. & vb. n.,of Gabble"
Gabble,"v. i.,To talk fast, or to talk without meaning; to prate; to jabber."
Gabbier,"n.,One who gabbles; a prater."
Gabbro,"n.,A name originally given by the Italians to a kind of serpentine, later to the rock called euphotide, and now generally used for a coarsely crystalline, igneous rock consistin…"
Gabel,"n.,A rent, service, tribute, custom, tax, impost, or duty; an excise."
Gabeler,"n.,A collector of gabels or taxes."
Gabelle,"n.,A tax, especially on salt."
Gabelleman,"n.,A gabeler."
Gaber-lunzie,"n.,A beggar with a wallet; a licensed beggar."
Gabert,"n.,A lighter, or vessel for inland navigation."
Gabion,"n.,A hollow cylinder of wickerwork, like a basket without a bottom. Gabions are made of various sizes, and filled with earth in building fieldworks to shelter men from an enemy'…"
Gabionade,"n.,A traverse made with gabions between guns or on their flanks, protecting them from enfilading fire."
Gabionage,"n.,The part of a fortification built of gabions."
Gabioned,"p. a.,Furnished with gabions."
Gabionnade,"n.,See Gabionade."
Gable,"n.,A cable."
Gablet,"n.,A small gable, or gable-shaped canopy, formed over a tabernacle, niche, etc."
Gablock,"n.,A false spur or gaff, fitted on the heel of a gamecock."
Gaby,"n.,A simpleton; a dunce; a lout."
Gad,"n.,The point of a spear, or an arrowhead."
Gadded,"imp. & p. p.,of Gad"
Gadding,"p. pr. & vb. n.,of Gad"
Gadabout,"n.,A gadder"
Gadbee,"n.,The gadfly."
Gadder,"n.,One who roves about idly, a rambling gossip."
Gaddingly,"adv.,In a roving, idle manner."
Gaddish,"a.,Disposed to gad."
Gade,"n.,A small British fish (Motella argenteola) of the Cod family."
Gadere,"v. t. & i.,Alt. of Gadre"
Gadre,"v. t. & i.,To gather."
Gadflies,"pl. ,of Gadfly"
Gadfly,"n.,Any dipterous insect of the genus Oestrus, and allied genera of botflies."
Gadhelic,"a.,Of or pertaining to that division of the Celtic languages, which includes the Irish, Gaelic, and Manx."
H,",the eighth letter of the English alphabet, is classed among the consonants, and is formed with the mouth organs in the same position as that of the succeeding vowel. It is used…"
Ha,"interj.,An exclamation denoting surprise, joy, or grief. Both as uttered and as written, it expresses a great variety of emotions, determined by the tone or the context. When re…"
Haaf,"n.,The deepsea fishing for cod, ling, and tusk, off the Shetland Isles."
Haak,"n.,A sea fish. See Hake."
Haar,"n.,A fog; esp., a fog or mist with a chill wind."
Habeas corpus,",A writ having for its object to bring a party before a court or judge; especially, one to inquire into the cause of a person's imprisonment or detention by another, with the vi…"
Habendum,"n.,That part of a deed which follows the part called the premises, and determines the extent of the interest or estate granted; -- so called because it begins with the word Habe…"
Haberdash,"v. i.,To deal in small wares."
Haberdasher,"n.,A dealer in small wares, as tapes, pins, needles, and thread; also, a hatter."
Haberdashery,"n.,The goods and wares sold by a haberdasher; also (Fig.), trifles."
Haberdine,"n.,A cod salted and dried."
Habergeon,"n.,Properly, a short hauberk, but often used loosely for the hauberk."
Habilatory,"a.,Of or pertaining to clothing; wearing clothes."
Habile,"a.,Fit; qualified; also, apt."
Habiliment,"n.,A garment; an article of clothing."
Habilimented,"a.,Clothed. Taylor (1630)."
Habilitate,"a.,Qualified or entitled."
Habilitation,"n.,Equipment; qualification."
Hability,"n.,Ability; aptitude."
Habit,"n.,The usual condition or state of a person or thing, either natural or acquired, regarded as something had, possessed, and firmly retained; as, a religious habit; his habit is…"
Habited,"imp. & p. p.,of Habit"
Habiting,"p. pr. & vb. n.,of Habit"
Habitability,"n.,Habitableness."
Habitable,"a.,Capable of being inhabited; that may be inhabited or dwelt in; as, the habitable world."
Habitakle,"v.,A dwelling place."
Habitan,"n.,Same as Habitant, 2."
Habitance,"n.,Dwelling; abode; residence."
Habiitancy,"n.,Same as Inhabitancy."
Habitant,"v. t.,An inhabitant; a dweller."
Habitat,"v. t.,The natural abode, locality or region of an animal or plant."
Habitation,"n.,The act of inhabiting; state of inhabiting or dwelling, or of being inhabited; occupancy."
Habitator,"n.,A dweller; an inhabitant."
Habitual,"n.,Formed or acquired by habit or use."
Habituated,"imp. & p. p.,of Habituate"
Habituating,"p. pr. & vb. n.,of Habituate"
Habituate,"v. t.,To make accustomed; to accustom; to familiarize."
Habituation,"n.,The act of habituating, or accustoming; the state of being habituated."
Habitude,"n.,Habitual attitude; usual or accustomed state with reference to something else; established or usual relations."
Habitue,"n.,One who habitually frequents a place; as, an habitue of a theater."
Habiture,"n.,Habitude."
ical,"a.,Relating to the patriarch Abraham."
I,",I, the ninth letter of the English alphabet, takes its form from the Phoenician, through the Latin and the Greek. The Phoenician letter was probably of Egyptian origin. Its ori…"
I-,"prefix.,See Y-."
Iamatology,"n.,Materia Medica; that branch of therapeutics which treats of remedies."
Iamb,"n.,An iambus or iambic."
Iambic,"a.,Consisting of a short syllable followed by a long one, or of an unaccented syllable followed by an accented; as, an iambic foot."
Iambical,"a.,Iambic."
Iambically,"adv.,In a iambic manner; after the manner of iambics."
Iambize,"v. t.,To satirize in iambics; to lampoon."
Iambi,"pl. ,of Iambus"
Iambuses,"pl. ,of Iambus"
Iambus,"n.,A foot consisting of a short syllable followed by a long one, as in /mans, or of an unaccented syllable followed by an accented one, as invent; an iambic. See the Couplet und…"
Ianthinae,"pl. ,of Ianthina"
Ianthinas,"pl. ,of Ianthina"
Ianthina,"n.,Any gastropod of the genus Ianthina, of which various species are found living in mid ocean; -- called also purple shell, and violet snail."
Iatraliptic,"a.,Treating diseases by anointing and friction; as, the iatraliptic method."
Iatric,"a.,Alt. of Iatrical"
Iatrical,"a.,Of or pertaining to medicine, or to medical men."
Iatrochemical,"a.,Of or pertaining to iatrochemistry, or to the iatrochemists."
Iatrochemist,"n.,A physician who explained or treated diseases upon chemical principles; one who practiced iatrochemistry."
Iatrochemistry,"n.,Chemistry applied to, or used in, medicine; -- used especially with reference to the doctrines in the school of physicians in Flanders, in the 17th century, who held that hea…"
Iatromathematical,"a.,Of or pertaining to iatromathematicians or their doctrine."
Iatromathematician,"n.,One of a school of physicians in Italy, about the middle of the 17th century, who tried to apply the laws of mechanics and mathematics to the human body, and hence were eager…"
Iberian,"a.,Of or pertaining to Iberia."
Ibexes,"pl. ,of Ibex"
Ibices,"pl. ,of Ibex"
Ibex,"n.,One of several species of wild goats having very large, recurved horns, transversely ridged in front; -- called also steinbok."
Ibidem,"adv.,In the same place; -- abbreviated ibid. or ib."
Ibis,"n.,Any bird of the genus Ibis and several allied genera, of the family Ibidae, inhabiting both the Old World and the New. Numerous species are known. They are large, wading bird…"
Icarian,"a.,Soaring too high for safety, like Icarus; adventurous in flight."
J,",J is the tenth letter of the English alphabet. It is a later variant form of the Roman letter I, used to express a consonantal sound, that is, originally, the sound of English…"
Jaal goat,",A species of wild goat (Capra Nubiana) found in the mountains of Abyssinia, Upper Egypt, and Arabia; -- called also beden, and jaela."
Jab,"v. t.,To thrust; to stab; to punch. See Job, v. t."
Jabbered,"imp. & p. p.,of Jabber"
Jabbering,"p. pr. & vb. n.,of Jabber"
Jabber,"v. i.,To talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense; to chatter."
Jabberingly,"adv.,In a jabbering manner."
Jabberment,"n.,Jabber."
Jabbernowl,"n.,Same as Jobbernowl."
Jabiru,"n.,One of several large wading birds of the genera Mycteria and Xenorhynchus, allied to the storks in form and habits."
Jaborandi,"n.,The native name of a South American rutaceous shrub (Pilocarpus pennatifolius). The leaves are used in medicine as an diaphoretic and sialogogue."
Jaborine,"n.,An alkaloid found in jaborandi leaves, from which it is extracted as a white amorphous substance. In its action it resembles atropine."
Jabot,"n.,Originally, a kind of ruffle worn by men on the bosom of the shirt."
Jacamar,"n.,Any one of numerous species of tropical American birds of the genus Galbula and allied genera. They are allied to the kingfishers, but climb on tree trunks like nuthatches, a…"
Jacana,"n.,Any of several wading birds belonging to the genus Jacana and several allied genera, all of which have spurs on the wings. They are able to run about over floating water weed…"
Jacaranda,"n.,The native Brazilian name for certain leguminous trees, which produce the beautiful woods called king wood, tiger wood, and violet wood."
Jacare,"n.,A cayman. See Yacare."
Jacchus,"n.,The common marmoset (Hapale vulgaris). Formerly, the name was also applied to other species of the same genus."
Jacconet,"n.,See Jaconet."
Jacent,"a.,Lying at length; as, the jacent posture."
Jacinth,"n.,See Hyacinth."
Jack,"n.,A large tree, the Artocarpus integrifolia, common in the East Indies, closely allied to the breadfruit, from which it differs in having its leaves entire. The fruit is of gre…"
Jack-a-dandy,"n.,A little dandy; a little, foppish, impertinent fellow."
Jackal,"n.,Any one of several species of carnivorous animals inhabiting Africa and Asia, related to the dog and wolf. They are cowardly, nocturnal, and gregarious. They feed largely on…"
Jack-a-lent,"n.,A small stuffed puppet to be pelted in Lent; hence, a simple fellow."
Jackanapes,"n.,A monkey; an ape."
Jackass,"n.,The male ass; a donkey."
Jackdaw,"n.,See Daw, n."
Jackeen,"n.,A drunken, dissolute fellow."
Jacket,"n.,A short upper garment, extending downward to the hips; a short coat without skirts."
Jacketed,"a.,Wearing, or furnished with, a jacket."
Jacketing,"n.,The material of a jacket; as, nonconducting jacketing."
Jack Ketch,",A public executioner, or hangman."
Jackknife,"n.,A large, strong clasp knife for the pocket; a pocket knife."
Jackmen,"pl. ,of Jackman"
Jackman,"n.,One wearing a jack; a horse soldier; a retainer. See 3d Jack, n."
Jack-o'-lantern,"n.,See Jack-with-a-lantern, under 2d Jack."
Jackpudding,"n.,A merry-andrew; a buffoon."
Jacksaw,"n.,The merganser."
Jackscrew,"n.,A jack in which a screw is used for lifting, or exerting pressure. See Illust. of 2d Jack, n., 5."
K,",the eleventh letter of the English alphabet, is nonvocal consonant. The form and sound of the letter K are from the Latin, which used the letter but little except in the early…"
Kaama,"n.,The hartbeest."
Kabala,"n.,See Cabala."
Kabassou,"n.,See Cabassou."
Kabob,"n. & v. t.,See Cabob, n. &amp; v. t."
Kabook,"n.,A clay ironstone found in Ceylon."
Kabyle,"n.,A Berber, as in Algiers or Tunis. See Berber."
Kadder,"n.,The jackdaw."
Kadi,"n.,Alt. of Kadiaster"
Kadiaster,"n.,A Turkish judge. See Cadi."
Kafal,"n.,The Arabian name of two trees of the genus Balsamodendron, which yield a gum resin and a red aromatic wood."
Kaffir,"n.,Alt. of Kafir"
Kafir,"n.,One of a race which, with the Hottentots and Bushmen, inhabit South Africa. They inhabit the country north of Cape Colony, the name being now specifically applied to the trib…"
Kaffle,"n.,See Coffle."
Kafilah,"n.,See Cafila."
Kaftan,"n & v.,See Caftan."
Kage,"n.,A chantry chapel inclosed with lattice or screen work."
Kagu,"n.,A singular, crested, grallatorial bird (Rhinochetos jubatus), native of New Caledonia. It is gray above, paler beneath, and the feathers of the wings and tail are handsomely…"
Kaguan,"n.,The colugo."
Kahani,"n.,A kind of notary public, or attorney, in the Levant."
Kahau,"n.,A long-nosed monkey (Semnopithecus nasalis), native of Borneo. The general color of the body is bright chestnut, with the under parts, shoulders, and sides of the head, golde…"
Kail,"n.,A kind of headless cabbage. Same as Kale, 1."
Kaimacam,"n.,Same as Caimacam."
Kain,"n.,Poultry, etc., required by the lease to be paid in kind by a tenant to his landlord."
Kainit,"n.,Salts of potassium used in the manufacture of fertilizers."
Kainite,"n.,A compound salt consisting chiefly of potassium chloride and magnesium sulphate, occurring at the Stassfurt salt mines in Prussian Saxony."
Kainozoic,"a.,See Cenozoic."
Kaique,"n.,See Caique."
Kairine,"n.,A pale buff or white crystalline alkaloid derived from quinoline, and used as an antipyretic in medicine."
Kairoline,"n.,An organic base obtained from quinoline. It is used as a febrifuge, and resembles kairine."
Kaiser,"n.,The ancient title of emperors of Germany assumed by King William of Prussia when crowned sovereign of the new German empire in 1871."
Kaka,"n.,A New Zealand parrot of the genus Nestor, especially the brown parrot (Nestor meridionalis)."
Kakapo,"n.,A singular nocturnal parrot (Strigops habroptilus), native of New Zealand. It lives in holes during the day, but is active at night. It resembles an owl in its colors and gen…"
Kakaralli,"n.,A kind of wood common in Demerara, durable in salt water, because not subject to the depredations of the sea worm and barnacle."
Kakistocracy,"n.,Government by the worst men."
Kakoxene,"n.,See Cacoxene."
Kalan,"n.,The sea otter."
Kalasie,"n.,A long-tailed monkey of Borneo (Semnopithecus rubicundus). It has a tuft of long hair on the head."
Kale,"n.,A variety of cabbage in which the leaves do not form a head, being nearly the original or wild form of the species."
Kaleege,"n.,One of several species of large, crested, Asiatic pheasants, belonging to the genus Euplocamus, and allied to the firebacks."
Law-fall,"n.,Depression of the jaw; hence, depression of spirits."
L,",L is the twelfth letter of the English alphabet, and a vocal consonant. It is usually called a semivowel or liquid. Its form and value are from the Greek, through the Latin, th…"
La,"n.,A syllable applied to the sixth tone of the scale in music in solmization."
Laas,"n.,A lace. See Lace."
Lab,"v. i.,To prate; to gossip; to babble; to blab."
Labadist,"n.,A follower of Jean de Labadie, a religious teacher of the 17th century, who left the Roman Catholic Church and taught a kind of mysticism, and the obligation of community of…"
Labarraque's solution,",An aqueous solution of hypochlorite of sodium, extensively used as a disinfectant."
Labara,"pl. ,of Labarum"
Labarum,"n.,The standard adopted by the Emperor Constantine after his conversion to Christianity. It is described as a pike bearing a silk banner hanging from a crosspiece, and surmounte…"
Labdanum,"n.,See Ladanum."
Labefaction,"n.,The act of labefying or making weak; the state of being weakened; decay; ruin."
Labefy,"v. t.,To weaken or impair."
Label,"n.,A tassel."
Labeled,"imp. & p. p.,of Label"
Labelled,",of Label"
Labeling,"p. pr. & vb. n.,of Label"
Labelling,",of Label"
Labeler,"n.,One who labels."
Labella,"pl. ,of Labellum"
Labellums,"pl. ,of Labellum"
Labellum,"n.,The lower or apparently anterior petal of an orchidaceous flower, often of a very curious shape."
Labent,"a.,Slipping; sliding; gliding."
Labia,"n. pl.,See Labium."
Labial,"a.,Of or pertaining to the lips or labia; as, labial veins."
Labialism,"n.,The quality of being labial; as, the labialism of an articulation; conversion into a labial, as of a sound which is different in another language."
Labialization,"n.,The modification of an articulation by contraction of the lip opening."
Labialize,"v. t.,To modify by contraction of the lip opening."
